id,name,main_artist,artists,n_artists,year,decade,primary_genre,explicit,key,mode,popularity,popularity_pct_in_year,valence,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,duration_ms,valence_norm,acousticness_norm,danceability_norm,energy_norm,instrumentalness_norm,liveness_norm,loudness_norm,speechiness_norm,tempo_norm,duration_ms_norm,popularity_norm
1YcJBsPDvmmHwCiU36VQ9I,El Mal Que Me Hiciste,Francisco Canaro,"['Francisco Canaro', 'Agustín Irusta']",2,1927,1920,tango,0,5,0,0,0.43577235772357725,0.622,0.99,0.693,0.272,0.109,0.115,-16.977,0.166,114.407,184387,0.622,0.9939759036144579,0.701417004048583,0.272,0.109,0.115,0.6737608644585389,0.1711340206185567,0.46983043608602626,0.03320970392665075,0.0
0PH9AACae1f957JAavhOl2,Lazy Boi,Uli,['Uli'],1,1922,1920,corrido,0,1,1,0,0.49295774647887325,0.402,0.521,0.298,0.46,0.856,0.436,-18.645,0.453,87.921,157333,0.402,0.5230923694779117,0.3016194331983806,0.46,0.856,0.436,0.6476391825229035,0.4670103092783505,0.36106148899210294,0.028198211615607018,0.0
4pEg7B2yTt9lEeJOim12PA,Madre Mia - Remasterizado,Ignacio Corsini,['Ignacio Corsini'],1,1928,1920,tango,0,7,1,0,0.40087232355273594,0.903,0.988,0.6629999999999999,0.324,0.0,0.267,-14.861,0.0959,134.224,127987,0.903,0.9919678714859438,0.6710526315789473,0.324,0.0,0.267,0.7068984417821627,0.0988659793814433,0.5512120801455399,0.022762148432348004,0.0
3hdynjbhOf4ZIv3cuwjp2h,"Mazurkas, Op. 67: No. 3 in C Major (Allegretto)",Frédéric Chopin,"['Frédéric Chopin', 'Ignaz Friedman']",2,1926,1920,classical,0,7,1,0,0.28265602322206096,0.348,0.995,0.403,0.105,0.879,0.353,-19.451,0.0527,87.213,72080,0.348,0.998995983935743,0.4078947368421053,0.105,0.879,0.353,0.635016835016835,0.05432989690721649,0.3581539750397319,0.012405916428447582,0.0
7wMwo4HJIFVCLtljKRMb6D,Buena Suerte - Remasterizado,Ignacio Corsini,['Ignacio Corsini'],1,1925,1920,tango,0,4,0,0,0.26798561151079137,0.506,0.995,0.588,0.0652,0.7240000000000001,0.114,-22.125,0.192,122.354,150173,0.506,0.998995983935743,0.5951417004048583,0.0652,0.7240000000000001,0.114,0.5931407094197793,0.19793814432989693,0.502466048203953,0.02687189074079837,0.0
6oZyWbbisoG8jOunmpPH40,Country Blues #1,Taj Mahal,['Taj Mahal'],1,1928,1920,acoustic blues,0,6,1,0,0.40087232355273594,0.0932,0.872,0.5710000000000001,0.204,0.779,0.197,-18.61,0.0328,129.289,155893,0.0932,0.8755020080321285,0.5779352226720649,0.204,0.779,0.197,0.6481872993500901,0.033814432989690724,0.5309457222995643,0.02793146551788014,0.0
2Uomy9hZVWvEDhwKn3sBHe,No Queremos Melenas - Remasterizado,Francisco Canaro,['Francisco Canaro'],1,1926,1920,tango,0,11,1,0,0.28265602322206096,0.8109999999999999,0.996,0.322,0.2,0.882,0.11,-19.69,0.0783,200.008,159013,0.8109999999999999,1.0,0.3259109311740891,0.2,0.882,0.11,0.6312739801111895,0.08072164948453608,0.821364478228552,0.028509415396288377,0.0
1WVXxCQtAvzwerdF1oBiXy,Bessie Couldn't Help It,Hoagy Carmichael & His Orchestra,"['Hoagy Carmichael & His Orchestra', 'Bix Beiderbecke', 'Bud Freeman']",3,1924,1920,unknown,0,5,1,4,0.9427966101694916,0.871,0.951,0.826,0.447,0.24,0.0764,-10.71,0.0547,95.616,175720,0.871,0.9548192771084337,0.8360323886639676,0.447,0.24,0.0764,0.7719050974864928,0.056391752577319584,0.3926622232625756,0.0316042258509571,0.04
0jAnxJs9xMm6tMyQ7P64KL,Dead Man Blues - Take 2,Jelly Roll Morton & His Red Hot Peppers,['Jelly Roll Morton & His Red Hot Peppers'],1,1926,1920,ragtime,0,10,1,2,0.8537735849056604,0.713,0.971,0.731,0.304,0.407,0.326,-10.36,0.0567,127.473,198200,0.713,0.9748995983935743,0.7398785425101214,0.304,0.407,0.326,0.7773862657583588,0.058453608247422684,0.5234880311448952,0.0357684288210267,0.02
1OwZhyYyN1S5GxvZsHUAFL,The Stars and Stripes Forever,John Philip Sousa,"['John Philip Sousa', 'Vladimir Horowitz']",2,1928,1920,american romanticism,0,3,1,0,0.40087232355273594,0.501,0.992,0.523,0.2,0.856,0.238,-19.334,0.0379,110.254,230067,0.501,0.9959839357429718,0.5293522267206477,0.2,0.856,0.238,0.6368491112677159,0.039072164948453614,0.4527754848936581,0.0416714829156534,0.0
7xixaoI0LigjwEEnDrhmem,"Prélude in C-Sharp Minor, Op. 45",Frédéric Chopin,"['Frédéric Chopin', 'Alfred Cortot']",2,1926,1920,classical,0,9,1,0,0.28265602322206096,0.0987,0.994,0.345,0.0805,0.892,0.534,-19.692,0.0351,129.623,247413,0.0987,0.9979919678714859,0.3491902834008097,0.0805,0.892,0.534,0.631242659149636,0.036185567010309276,0.5323173461132533,0.044884661951188426,0.0
4IUls53mx64sfeX1LBxCM5,Je N'suis Pas Celle Que Vous Croyez,Perchicot,['Perchicot'],1,1925,1920,vintage chanson,0,9,1,0,0.26798561151079137,0.888,0.953,0.65,0.52,0.0,0.0629,-12.068,0.0817,131.36700000000002,185973,0.888,0.9568273092369477,0.6578947368421053,0.52,0.0,0.0629,0.750638164591653,0.08422680412371134,0.5394793578829357,0.0335034951148416,0.0
01ZZRn5vix6WJfvQqXLtpP,Washboard Blues,Paul Whiteman & His Concert Orchestra,"['Paul Whiteman & His Concert Orchestra', 'Bix Beiderbecke']",2,1924,1920,unknown,0,10,1,2,0.8877118644067796,0.25,0.992,0.536,0.0815,0.0261,0.111,-16.192999999999998,0.0494,112.243,253800,0.25,0.9959839357429718,0.5425101214574899,0.0815,0.0261,0.111,0.6860386813875187,0.05092783505154639,0.46094362790392057,0.046067792038814524,0.02
7CYIvzwdxy2CbkYlo7VaLp,Por una Mujer - Remasterizado,Francisco Canaro,"['Francisco Canaro', 'Charlo']",2,1928,1920,tango,0,4,1,0,0.40087232355273594,0.928,0.994,0.857,0.201,0.317,0.161,-11.841,0.255,116.199,169707,0.928,0.9979919678714859,0.8674089068825911,0.201,0.317,0.161,0.7541930937279775,0.26288659793814434,0.4771895674456997,0.030490375652601737,0.0
3Amp4ff4OGG9weSX44dkTy,Horses - Instrumental (Remasterizado),Francisco Canaro,['Francisco Canaro'],1,1927,1920,tango,0,1,1,0,0.43577235772357725,0.905,0.995,0.804,0.338,0.946,0.123,-18.092,0.184,118.711,156613,0.905,0.998995983935743,0.8137651821862348,0.338,0.946,0.123,0.6562994283924517,0.18969072164948453,0.4875054926552419,0.028064838566743577,0.0
7jGI68abcUItqtLHrFyVhg,La Reina del Arrabal - Instrumental (Remasterizado),Francisco Canaro,['Francisco Canaro'],1,1927,1920,tango,0,9,1,0,0.43577235772357725,0.5589999999999999,0.995,0.609,0.208,0.946,0.115,-17.812,0.132,112.517,180747,0.5589999999999999,0.998995983935743,0.6163967611336032,0.208,0.946,0.115,0.6606843630099445,0.13608247422680414,0.4620688522301207,0.03253542906850781,0.0
3U6L5KW48YOsksN9Qvlydl,I've Got The World On A String,Louis Armstrong,['Louis Armstrong'],1,1923,1920,adult standards,0,5,1,12,0.8810810810810811,0.411,0.985,0.544,0.181,0.0256,0.401,-11.729,0.0387,129.803,195000,0.411,0.9889558232931727,0.5506072874493928,0.181,0.0256,0.401,0.7559470675749747,0.039896907216494845,0.5330565445757206,0.03517565971496697,0.12
7nkJgLxd8XVjpQ8gKWzWte,Часть 105.2 - На Западном фронте без перемен,Эрих Мария Ремарк,['Эрих Мария Ремарк'],1,1929,1920,unknown,1,10,0,0,0.4726890756302521,0.645,0.0363,0.745,0.186,0.0,0.183,-20.046,0.964,65.719,114800,0.645,0.03644578313253012,0.7540485829959515,0.186,0.0,0.183,0.625698848954663,0.9938144329896907,0.2698854653048988,0.02031938399434498,0.0
